ABBREV	NAME	DISPLAY_NAME	DEFINITION	DEFINITION_SOURCE	DEFINITION_SOURCE_URL	ADDITIONAL_INFO_LINK
chr	chromosome		chromosome	ADSP Annotation WG File Release 2 README		
pos	position		BP-position (1-based) relative to the chromosome	ADSP Annotation WG File Release 2 README		
allele	allele		the variant allele used to calculate the consequence	Ensembl FAQ: Variant Effect Predictor Dat Formats	http://www.ensembl.org/info/docs/tools/vep/vep_formats.html	
seq_meta_var_id	SeqMeta-compatible identifier		a variant identifier compatible with SeqMeta (CHR:POS:REF:ALT)	ADSP Annotation WG File Release 2 README		
epacts_var_id	EPACTS-compatible identifier		a variant identifier compatible with EPACTS (CHR:POS_REF/ALT)	ADSP Annotation WG File Release 2 README		
gene_symbol	gene symbol	Gene Symbol	most relevant gene symbol for affected gene	ADSP Annotation WG File Release 2 README		
gene	gene	Gene	Ensembl stable ID of affected gene	Ensembl FAQ: Variant Effect Predictor Dat Formats	http://www.ensembl.org/info/docs/tools/vep/vep_formats.html	
feature	feature	Feature	Ensembl stable ID of feature	Ensembl FAQ: Variant Effect Predictor Dat Formats	http://www.ensembl.org/info/docs/tools/vep/vep_formats.html	
feature_type	feature type	Feature Type	type of feature. Currently one of Transcript, RegulatoryFeature, MotifFeature	Ensembl FAQ: Variant Effect Predictor Dat Formats	http://www.ensembl.org/info/docs/tools/vep/vep_formats.html	
consequence	consequence	Predicted Effect	consequence type of this variant	Ensembl FAQ: Variant Effect Predictor Dat Formats	http://www.ensembl.org/info/docs/tools/vep/vep_formats.html	http://www.ensembl.org/info/genome/variation/predicted_data.html#consequences
cdna_position	position in cDNA		relative position of base pair in cDNA sequence	Ensembl FAQ: Variant Effect Predictor Dat Formats	http://www.ensembl.org/info/docs/tools/vep/vep_formats.html	
cds_position	position in CDS		relative position of base pair in coding sequence	Ensembl FAQ: Variant Effect Predictor Dat Formats	http://www.ensembl.org/info/docs/tools/vep/vep_formats.html	
protein_position	position in protein		relative position of amino acid in protein	Ensembl FAQ: Variant Effect Predictor Dat Formats	http://www.ensembl.org/info/docs/tools/vep/vep_formats.html	
amino_acids	amino acid change		amino acid change; only given if the variant affects the protein-coding sequence	Ensembl FAQ: Variant Effect Predictor Dat Formats	http://www.ensembl.org/info/docs/tools/vep/vep_formats.html	
codons	codon change		the alternative codons with the variant base in upper case	Ensembl FAQ: Variant Effect Predictor Dat Formats	http://www.ensembl.org/info/docs/tools/vep/vep_formats.html	
existing_variation	co-located variation		known identifier of existing variant (dbSNP rsID)	Ensembl FAQ: Variant Effect Predictor Dat Formats	http://www.ensembl.org/info/docs/tools/vep/vep_formats.html	
extra	The Ensembl extra field		contains extra information as key=value pairs separated by ";".	Ensembl FAQ: Variant Effect Predictor Dat Formats	http://www.ensembl.org/info/docs/tools/vep/vep_formats.html	
gene_type	Ensembl gene biotype		Ensembl gene biotype	ADSP Annotation WG File Release 2 README		http://vega.sanger.ac.uk/info/about/gene_and_transcript_types.html 
most_damaging_consequence_for_this_gene	VEP most severe effect	VEP MSC	most severe consequence for this gene according to the Ensembl ranking	ADSP Annotation WG File Release 2 README		
consequence_impact	consequence impact	VEP CI	Ensembl Impact assessment for this variant consequence	ADSP Annotation WG File Release 2 README		
most_damaging_consequence_excluding_nmd_transcripts	most damaging consequence excluding nmd transcripts	VEP MSC (NMD)	most severe consequence for any non-NMD transcripts for this gene	ADSP Annotation WG File Release 2 README		
consequence_impact_excluding_nmd_transcripts	consequence impact excluding nmd transcripts	VEP CI (NMD)	Ensembl Impact assessment for any non-NMD transcripts for this gene	ADSP Annotation WG File Release 2 README		
most_damaging_consequence_for_protein_coding_transcripts	most damaging consequence for protein coding transcripts	VEP MSC (PC)	most severe consequence relative to protein coding transcripts for this gene	ADSP Annotation WG File Release 2 README		
consequence_impact_for_protein_coding_transcripts	consequence impact for protein coding transcripts	VEP CI (PC)	Ensembl Impact assessment for protein coding transcripts	ADSP Annotation WG File Release 2 README		
SNPEff_LOF	SNPEff LOF	 LOF	occurence in the SnpEff Loss of Function Annotation	ADSP Annotation WG File Release 2 README		
SNPEff_LOF_consequence	SNPEff LOF consequence	 LOF Consequence	SnpEff predicted consequence for Loss of Function Annotations	ADSP Annotation WG File Release 2 README		
