FILER_TRACK_ID	FILE	FILER_PATH	FILER_GENOME_BUILD	FILER_FILE_FORMAT	ORIGINAL ROADMAP CELL TYPE/TISSUE	NAME	CHARACTERISTIC|cultured cell	CHARACTERISTIC|Cell line name	CHARACTERISTIC|cell	CHARACTERISTIC|tissue	CHARACTERISTIC|developmental stage	CHARACTERISTIC|sequence_feature	CHARACTERISTIC|assay	CHARACTERISTIC|antibody target	CHARACTERISTIC|FILER_TISSUE_CATEGORY	CHARACTERISTIC|FILER_BIOSAMPLE_TYPE
NGRM005279	E001_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	ES-I3 Cells	ChromHMM 15-state model for ES-I3 Cells		ES-I3	stem cell		embryo stage	enhancer	 ChIP-seq assay	value:consolidated	ESC	primary culture
NGRM005280	E002_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	ES-WA7 Cells	ChromHMM 15-state model for ES-WA7 Cells		H7-hESC	stem cell		embryo stage	enhancer	 ChIP-seq assay	value:consolidated	ESC	primary culture
NGRM005281	E003_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	H1 Cells	ChromHMM 15-state model for H1 Cells		H1-hESC	stem cell		embryo stage	enhancer	 ChIP-seq assay	value:consolidated	ESC	primary culture
NGRM005282	E004_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	H1 BMP4 Derived Mesendoderm Cultured Cells	ChromHMM 15-state model for H1 BMP4 Derived Mesendoderm Cultured Cells		H1-hESC	stem cell	value:mesendoderm	embryo stage	enhancer	 ChIP-seq assay	value:consolidated	Embryo	ESC derived
NGRM005283	E005_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	H1 BMP4 Derived Trophoblast Cultured Cells	ChromHMM 15-state model for H1 BMP4 Derived Trophoblast Cultured Cells		H1-hESC	trophoblast cell		embryo stage	enhancer	 ChIP-seq assay	value:consolidated	Embryo	ESC derived
NGRM005284	E006_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	H1 Derived Mesenchymal Stem Cells	ChromHMM 15-state model for H1 Derived Mesenchymal Stem Cells		H1-hESC	mesenchymal stem cell		embryo stage	enhancer	 ChIP-seq assay	value:consolidated	Stem Cell	ESC derived
NGRM005285	E007_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	H1 Derived Neuronal Progenitor Cultured Cells	ChromHMM 15-state model for H1 Derived Neuronal Progenitor Cultured Cells		H1-hESC	neuronal stem cell		embryo stage	enhancer	 ChIP-seq assay	value:consolidated	Stem Cell	ESC derived
NGRM005286	E008_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	H9 Cells	ChromHMM 15-state model for H9 Cells		H9	stem cell		embryo stage	enhancer	 ChIP-seq assay	value:consolidated	ESC	primary culture
NGRM005287	E009_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	H9 Derived Neuronal Progenitor Cultured Cells	ChromHMM 15-state model for H9 Derived Neuronal Progenitor Cultured Cells		H9	neuronal stem cell		embryo stage	enhancer	 ChIP-seq assay	value:consolidated	Stem Cell	ESC derived
NGRM005288	E010_15_coreMarks_mnemonics_enhancer.bed.gz	Annotationtracks/ROADMAP_Enhancers/ChIP-seq	hg19	bed4	H9 Derived Neuron Cultured Cells	ChromHMM 15-state model for H9 Derived Neuron Cultured Cells		H9	neuron		embryo stage	enhancer	 ChIP-seq assay	value:consolidated	Nervous	ESC derived
