TERM_SOURCE_ID	CATEGORY_LEVEL_1	CATEGORY_LEVEL_2	CATEGORY_LEVEL_3	CATEGORY_LEVEL_4
CHEBI_47778	chemical entity			
CHEBI_16113	chemical entity			
CHEBI_3098	chemical entity			
CHEBI_3766	chemical entity			
CHEBI_5613	chemical entity			
CHEBI_60479	chemical entity			
CHEBI_6437	chemical entity			
CHEBI_64482	chemical entity			
CHEBI_18059	chemical entity			
CHEBI_33575	chemical entity			
CHEBI_24431	chemical entity			
CHEBI_50860	chemical entity			
CHMO_0000104	assay	imaging assay		
CHMO_0000113	assay	imaging assay		
CHMO_0000524	assay	mass spectrometry		
CHMO_0000701	assay	mass spectrometry		
CHMO_0001746	assay	mass spectrometry		
CHMO_0002719	assay	mass spectrometry		
CHMO_0002719	assay	mass spectrometry		
OBI_0000185	assay	imaging assay		
CL_0000129	biomaterial characteristic	specimen type	cell	
CL_2000095	biomaterial characteristic	specimen type	cell	
CL_0000128	biomaterial characteristic	specimen type	cell	
CL_0002375	biomaterial characteristic	specimen type	cell	
CL_0000540	biomaterial characteristic	specimen type	cell	
CL_0002322	biomaterial characteristic	specimen type	cell	
CL_2000001	biomaterial characteristic	specimen type	cell	
CL_0002573	biomaterial characteristic	specimen type	cell	neural cell
CL_0000057	biomaterial characteristic	specimen type	cell	
CL_0000127	biomaterial characteristic	specimen type	cell	neural cell
CL_0000235	biomaterial characteristic	specimen type	cell	
CL_2000074	biomaterial characteristic	specimen type	cell	
CL_0000066	biomaterial characteristic	specimen type	cell	
CL_0000945	biomaterial characteristic	specimen type	cell	
CL_0000576	biomaterial characteristic	specimen type	cell	
CL_0011005	biomaterial characteristic	specimen type	cell	neural cell
CL_0000000	biomaterial characteristic	specimen type	cell	
CLO_0001915	biomaterial characteristic	specimen type	cell line	
CLO_0008425	biomaterial characteristic	specimen type	cell line	
CLO_0009058	biomaterial characteristic	specimen type	cell line	
CLO_0009059	biomaterial characteristic	specimen type	cell line	
CLO_0009464	biomaterial characteristic	specimen type	cell line	
CLO_0009828	biomaterial characteristic	specimen type	cell line	
CLO_0037279	biomaterial characteristic	specimen type	cell line	
