source_id	chromosome	chromosome_order_num	length
chr1	chr1	1	195471971
chr2	chr2	2	182113224
chr3	chr3	3	160039680
chr4	chr4	4	156508116
chr5	chr5	5	151834684
chr6	chr6	6	149736546
chr7	chr7	7	145441459
chr8	chr8	8	129401213
chr9	chr9	9	124595110
chr10	chr10	10	130694993
chr11	chr11	11	122082543
chr12	chr12	12	120129022
chr13	chr13	13	120421639
chr14	chr14	14	124902244
chr15	chr15	15	104043685
chr16	chr16	16	98207768
chr17	chr17	17	94987271
chr18	chr18	18	90702639
chr19	chr19	19	61431566
chrX	chrX	20	171031299
chrY	chrY	21	91744698
chrM	chrM	22	16299
GL456210.1	GL456210.1	23	169725
GL456211.1	GL456211.1	23	241735
GL456212.1	GL456212.1	23	153618
GL456213.1	GL456213.1	23	39340
GL456216.1	GL456216.1	23	66673
GL456219.1	GL456219.1	23	175968
GL456221.1	GL456221.1	23	206961
GL456233.1	GL456233.1	23	336933
GL456239.1	GL456239.1	23	40056
GL456350.1	GL456350.1	23	227966
GL456354.1	GL456354.1	23	195993
GL456359.1	GL456359.1	23	22974
GL456360.1	GL456360.1	23	31704
GL456366.1	GL456366.1	23	47073
GL456367.1	GL456367.1	23	42057
GL456368.1	GL456368.1	23	20208
GL456370.1	GL456370.1	23	26764
GL456372.1	GL456372.1	23	28664
GL456378.1	GL456378.1	23	31602
GL456379.1	GL456379.1	23	72385
GL456381.1	GL456381.1	23	25871
GL456382.1	GL456382.1	23	23158
GL456383.1	GL456383.1	23	38659
GL456385.1	GL456385.1	23	35240
GL456387.1	GL456387.1	23	24685
GL456389.1	GL456389.1	23	28772
GL456390.1	GL456390.1	23	24668
GL456392.1	GL456392.1	23	23629
GL456393.1	GL456393.1	23	55711
GL456394.1	GL456394.1	23	24323
GL456396.1	GL456396.1	23	21240
JH584292.1	JH584292.1	23	14945
JH584293.1	JH584293.1	23	207968
JH584294.1	JH584294.1	23	191905
JH584295.1	JH584295.1	23	1976
JH584296.1	JH584296.1	23	199368
JH584297.1	JH584297.1	23	205776
JH584298.1	JH584298.1	23	184189
JH584299.1	JH584299.1	23	953012
JH584300.1	JH584300.1	23	182347
JH584301.1	JH584301.1	23	259875
JH584302.1	JH584302.1	23	155838
JH584303.1	JH584303.1	23	158099
JH584304.1	JH584304.1	23	114452
KQ030490.1	KQ030490.1	23	120154
KB469738.3	KB469738.3	23	210641
JH792830.1	JH792830.1	23	246751
KV575237.1	KV575237.1	23	1224174
KK082442.1	KK082442.1	23	154766
KV575240.1	KV575240.1	23	171859
KV575235.1	KV575235.1	23	195735
KV575239.1	KV575239.1	23	71460
KQ030495.1	KQ030495.1	23	490000
KV575238.1	KV575238.1	23	414410
KV575234.1	KV575234.1	23	686942
KQ030485.1	KQ030485.1	23	185548
KQ030486.1	KQ030486.1	23	399265
KQ030487.1	KQ030487.1	23	316842
KB469739.1	KB469739.1	23	331111
KB469741.2	KB469741.2	23	505876
JH792829.1	JH792829.1	23	352455
KV575236.1	KV575236.1	23	166096
KV575233.1	KV575233.1	23	266016
JH792826.1	JH792826.1	23	368286
JH792828.1	JH792828.1	23	473738
KB469740.1	KB469740.1	23	316140
JH792832.1	JH792832.1	23	544189
JH792833.1	JH792833.1	23	221588
JH792827.1	JH792827.1	23	205713
JH792834.1	JH792834.1	23	331480
JH792831.1	JH792831.1	23	182256
KB469742.1	KB469742.1	23	1059955
KQ030484.1	KQ030484.1	23	214957
KQ030494.1	KQ030494.1	23	506812
KQ030496.1	KQ030496.1	23	260447
KQ030497.1	KQ030497.1	23	219721
KQ030492.1	KQ030492.1	23	166012
KQ030493.1	KQ030493.1	23	269476
KQ030491.1	KQ030491.1	23	129865
KQ030488.1	KQ030488.1	23	45901
KQ030489.1	KQ030489.1	23	188269
KV575232.1	KV575232.1	23	200008
KV575241.1	KV575241.1	23	211337
KV575242.1	KV575242.1	23	299789
KK082441.1	KK082441.1	23	456798
