source_id	chromosome	chromosome_order_num	length
chr1	chr1	1	248956422
chr2	chr2	2	242193529
chr3	chr3	3	198295559
chr4	chr4	4	190214555
chr5	chr5	5	181538259
chr6	chr6	6	170805979
chr7	chr7	7	159345973
chr8	chr8	8	145138636
chr9	chr9	9	138394717
chr10	chr10	10	133797422
chr11	chr11	11	135086622
chr12	chr12	12	133275309
chr13	chr13	13	114364328
chr14	chr14	14	107043718
chr15	chr15	15	101991189
chr16	chr16	16	90338345
chr17	chr17	17	83257441
chr18	chr18	18	80373285
chr19	chr19	19	58617616
chr20	chr20	20	64444167
chr21	chr21	21	46709983
chr22	chr22	22	50818468
chrX	chrX	23	156040895
chrY	chrY	24	57227415
chrM	chrM	25	16569
GL000008.2	GL000008.2	26	209709
GL000009.2	GL000009.2	26	201709
GL000194.1	GL000194.1	26	191469
GL000195.1	GL000195.1	26	182896
GL000205.2	GL000205.2	26	185591
GL000208.1	GL000208.1	26	92689
GL000213.1	GL000213.1	26	164239
GL000214.1	GL000214.1	26	137718
GL000216.2	GL000216.2	26	176608
GL000218.1	GL000218.1	26	161147
GL000219.1	GL000219.1	26	179198
GL000220.1	GL000220.1	26	161802
GL000221.1	GL000221.1	26	155397
GL000224.1	GL000224.1	26	179693
GL000225.1	GL000225.1	26	211173
KQ031388.1	KQ031388.1	26	179932
GL000226.1	GL000226.1	26	15008
KQ759759.1	KQ759759.1	26	196940
KN538364.1	KN538364.1	26	415308
KQ759762.1	KQ759762.1	26	101037
KQ031383.1	KQ031383.1	26	467143
KN538369.1	KN538369.1	26	541038
JH159136.1	JH159136.1	26	200998
JH159137.1	JH159137.1	26	191409
KQ031387.1	KQ031387.1	26	320750
KV766195.1	KV766195.1	26	140877
KN538360.1	KN538360.1	26	460100
KN196484.1	KN196484.1	26	370917
KN196476.1	KN196476.1	26	305979
KQ983257.1	KQ983257.1	26	230434
KN196479.1	KN196479.1	26	330164
KV575245.1	KV575245.1	26	154723
KN196473.1	KN196473.1	26	166200
KN196487.1	KN196487.1	26	101150
KQ759760.1	KQ759760.1	26	315610
KN196475.1	KN196475.1	26	451168
KV880766.1	KV880766.1	26	156998
KV880767.1	KV880767.1	26	265876
KQ090016.1	KQ090016.1	26	245716
KV880764.1	KV880764.1	26	142129
KN538361.1	KN538361.1	26	305542
KN196474.1	KN196474.1	26	122022
KQ090022.1	KQ090022.1	26	181958
KN196478.1	KN196478.1	26	268330
KN196480.1	KN196480.1	26	277797
KQ090028.1	KQ090028.1	26	407387
KN196483.1	KN196483.1	26	35455
KN196481.1	KN196481.1	26	108875
KN538363.1	KN538363.1	26	365499
KN538362.1	KN538362.1	26	208149
KQ031385.1	KQ031385.1	26	373699
KV766192.1	KV766192.1	26	411654
KQ031386.1	KQ031386.1	26	165718
KN538365.1	KN538365.1	26	14347
KN538366.1	KN538366.1	26	85284
KN538367.1	KN538367.1	26	420164
KN538370.1	KN538370.1	26	86533
KN538373.1	KN538373.1	26	148762
KV880765.1	KV880765.1	26	468267
KV766196.1	KV766196.1	26	281919
KN538371.1	KN538371.1	26	206320
KQ031384.1	KQ031384.1	26	481245
KN538372.1	KN538372.1	26	356766
KQ090021.1	KQ090021.1	26	264545
KN196482.1	KN196482.1	26	211377
KQ458386.1	KQ458386.1	26	405389
KV575244.1	KV575244.1	26	673059
KV880768.1	KV880768.1	26	1927115
KN196472.1	KN196472.1	26	186494
GL383545.1	GL383545.1	26	179254
GL383546.1	GL383546.1	26	309802
KI270824.1	KI270824.1	26	181496
KI270825.1	KI270825.1	26	188315
KQ090020.1	KQ090020.1	26	185507
GL383547.1	GL383547.1	26	154407
KN538368.1	KN538368.1	26	203552
KI270826.1	KI270826.1	26	186169
KI270827.1	KI270827.1	26	67707
KI270829.1	KI270829.1	26	204059
KI270830.1	KI270830.1	26	177092
KI270831.1	KI270831.1	26	296895
KI270832.1	KI270832.1	26	210133
KI270902.1	KI270902.1	26	106711
KI270903.1	KI270903.1	26	214625
KI270927.1	KI270927.1	26	218612
GL877875.1	GL877875.1	26	167313
GL383549.1	GL383549.1	26	120804
GL383550.2	GL383550.2	26	169178
KQ090023.1	KQ090023.1	26	109323
GL877876.1	GL877876.1	26	408271
GL383552.1	GL383552.1	26	138655
KI270904.1	KI270904.1	26	572349
GL383553.2	GL383553.2	26	152874
KI270835.1	KI270835.1	26	238139
GL383551.1	GL383551.1	26	184319
KI270837.1	KI270837.1	26	40090
KI270833.1	KI270833.1	26	76061
KI270834.1	KI270834.1	26	119498
KI270836.1	KI270836.1	26	56134
KI270838.1	KI270838.1	26	306913
KI270839.1	KI270839.1	26	180306
KI270840.1	KI270840.1	26	191684
KI270841.1	KI270841.1	26	169134
KI270842.1	KI270842.1	26	37287
KI270843.1	KI270843.1	26	103832
KQ090024.1	KQ090024.1	26	168146
KQ090025.1	KQ090025.1	26	123480
